DateTime,Financial_Year,Voucher_No,Voucher_Type,Branch,Cost_Center,Party_Code,Party_Name,GSTIN,State,Item_Code,Item_Name,HSN_Code,Quantity,Rate,Taxable_Value,GST_Rate_%,CGST,SGST,IGST,Invoice_Total,Payment_Mode,Payment_Status,Entered_By,Record_Status,Is_Anomaly,Anomaly_Type,Anomaly_Severity,Expected_Value,Actual_Value,Audit_Reason
05-06-2025,2024-25,VCH-000001,Journal,Ahmedabad Branch,Warehouse,,,,,ITM012,UPS 1KVA,8504,1,0.0,150349.71,18,0.0,0.0,0.0,INV-0000001,Bank,Pending,sales1,Normal,0,,Normal,,,
17-10-2026,2025-26,VCH-000002,Purchase,Ahmedabad Branch,Sales,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM010,1080p Webcam,8525,12,3323.09,39877.08,18,0.0,0.0,7177.87,INV-0000002,NEFT,Pending,accounts2,Normal,1,Missing Reference,Medium,,,Required supporting reference is absent.
22-07-2026,2025-26,VCH-000003,Sales,Pune Branch,Purchase,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM005,Mechanical Keyboard,8471,7,3862.3,27036.1,18,2433.25,2433.25,0.0,INV-0000003,Cash,Cleared,sales1,Normal,0,,Normal,,,
15-02-2026,2024-25,VCH-000004,Sales,Pune Branch,Sales,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM008,1TB SSD,8523,12,7679.92,92159.04,18,0.0,0.0,16588.63,INV-0000004,Cash,Cleared,sales1,Normal,0,,Normal,,,
11-02-2026,2026-27,VCH-000005,Receipt,Pune Branch,Warehouse,CUST003,City Systems,29ABCDE3456H1Z3,Karnataka,ITM008,1TB SSD,8523,1,0.0,84435.1,18,0.0,0.0,0.0,INV-0000005,Cash,Cleared,sales1,Normal,0,,Normal,,,
18-12-2026,2025-26,VCH-000006,Receipt,Mumbai HO,Administration,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM005,Mechanical Keyboard,8471,1,0.0,62881.61,18,0.0,0.0,0.0,INV-0000006,NEFT,Cleared,admin,Normal,1,Unusual Amount,Medium,,,Transaction amount is statistically unusual compared with the baseline.
02-06-2025,2025-26,VCH-000007,Journal,Pune Branch,Warehouse,,,,,ITM002,Gaming Laptop,8471,1,0.0,106559.48,18,0.0,0.0,0.0,INV-0076163,Credit,Cleared,accounts2,Normal,1,Duplicate Invoice,High,Unique invoice number,INV-0076163,Invoice identifier appears duplicated or reused.
23-08-2026,2025-26,VCH-000008,Payment,Bengaluru Branch,Sales,SUP002,Metro Wholesale,24SUPPL2345B1Z4,Gujarat,ITM009,Wi-Fi Router,8517,1,0.0,91210.56,18,0.0,0.0,0.0,INV-0000008,RTGS,Partly Paid,purchase1,Normal,0,,Normal,,,
26-08-2025,2024-25,VCH-000009,Purchase,Mumbai HO,Sales,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM002,Gaming Laptop,8471,15,72478.93,1087183.95,18,0.0,0.0,195693.11,INV-0000009,UPI,Cleared,sales1,Normal,0,,Normal,,,
08-06-2025,2024-25,VCH-000010,Purchase Return,Mumbai HO,Warehouse,SUP005,Shree Computer Supplies,33SUPPL5678E1Z1,Tamil Nadu,ITM006,Wireless Mouse,8471,10,1040.17,-10401.7,18,0.0,0.0,-1872.31,INV-0000010,Credit,Cleared,admin,Normal,0,,Normal,,,
